NoseX,NoseY,NoseC,LEyeX,LEyeY,LEyeC,REyeX,REyeY,REyeC,LEarX,LEarY,LEarC,REarX,REarY,REarC,LShoulderX,LShoulderY,LShoulderC,RShoulderX,RShoulderY,RShoulderC,LElbowX,LElbowY,LElbowC,RElbowX,RElbowY,RElbowC,LWristX,LWristY,LWristC,RWristX,RWristY,RWristC,LHipX,LHipY,LHipC,RHipX,RHipY,RHipC,LKneeX,LKneeY,LKneeC,RKneeX,RKneeY,RKneeC,LAnkleX,LAnkleY,LAnkleC,RAnkleX,RAnkleY,RAnkleC,UpperNeckX,UpperNeckY,UpperNeckC,HeadTopX,HeadTopY,HeadTopC,LBigToeX,LBigToeY,LBigToeC,LSmallToeX,LSmallToeY,LSmallToeC,LHeelX,LHeelY,LHeelC,RBigToeX,RBigToeY,RBigToeC,RSmallToeX,RSmallToeY,RSmallToeC,RHeelX,RHeelY,RHeelC,nome_video,frame_video,skill_id
0.38646,0.431485,0.064656,0,0,0,0,0,0,0.391023,0.466937,0.222737,0.395634,0.431503,0.385541,0.412483,0.491446,0.558677,0.414024,0.401516,0.543325,0.395592,0.540422,0.510717,0.398747,0.335999,0.50953,0.372613,0.581286,0.648083,0.365015,0.251739,0.475276,0.484426,0.434142,0.28208,0.472188,0.401456,0.260613,0.559473,0.371467,0.166751,0.553338,0.360517,0.295413,0.619159,0.319714,0.230328,0.619172,0.308849,0.460613,0.409447,0.447755,0.531576,0.363441,0.447846,0.514404,0.63759,0.303379,0.0756741,0.637589,0.297956,0.0769649,0,0,0,0.642195,0.289713,0.240808,0.642119,0.297909,0.242662,0.62229,0.295218,0.318596,flag1,63,fl
0,0,0,0,0,0,0,0,0,0.392546,0.469587,0.187159,0.397083,0.434212,0.370426,0.412488,0.491416,0.46564,0.414001,0.401465,0.551183,0.395569,0.540396,0.417079,0.398627,0.327912,0.534987,0.369595,0.583988,0.502867,0.365007,0.251728,0.564926,0.484478,0.436878,0.299822,0.47678,0.401443,0.316422,0.559466,0.379639,0.181511,0.541096,0.366066,0.344809,0.617688,0.333356,0.257531,0.619217,0.316972,0.522021,0.410912,0.4505,0.530914,0.361951,0.45052,0.481532,0.631442,0.3415,0.0882325,0.631419,0.336074,0.081308,0,0,0,0.634521,0.336014,0.166819,0,0,0,0.625349,0.306075,0.342911,flag1,64,fl
0.394089,0.477714,0.103474,0,0,0,0,0,0,0.39409,0.466872,0.288382,0.397088,0.431473,0.220579,0.412513,0.485856,0.559788,0.410999,0.398662,0.599724,0.397132,0.534969,0.606798,0.397193,0.325171,0.600423,0.372585,0.57868,0.739582,0.363494,0.251672,0.685767,0.485967,0.442278,0.357524,0.476768,0.398718,0.315094,0.567126,0.37959,0.26549,0.550297,0.371486,0.374282,0.623791,0.336093,0.350487,0.625315,0.322418,0.492582,0.409427,0.445064,0.536032,0.363495,0.455969,0.425285,0.645229,0.311524,0.113836,0.64372,0.306094,0.121221,0.63452,0.314269,0.148557,0.648321,0.297876,0.303504,0.646771,0.308775,0.277124,0.631471,0.314209,0.301008,flag1,65,fl
0.394083,0.469557,0.073744,0,0,0,0,0,0,0.395579,0.466854,0.210846,0.397086,0.431424,0.258973,0.412495,0.483196,0.538904,0.412481,0.393323,0.579712,0.397077,0.535012,0.589521,0.397155,0.322431,0.588291,0.371131,0.578707,0.723232,0.363493,0.251727,0.656506,0.485971,0.439558,0.360906,0.478321,0.39872,0.327119,0.564064,0.385125,0.257636,0.54571,0.376904,0.403603,0.620793,0.34967,0.332978,0.623808,0.33594,0.511274,0.409449,0.444995,0.52153,0.363474,0.45056,0.420342,0.646773,0.317025,0.0979797,0.645224,0.317038,0.103384,0.631485,0.352344,0.136126,0.648322,0.308857,0.274612,0.646797,0.316947,0.263443,0.632988,0.319773,0.311055,flag1,66,fl
0,0,0,0,0,0,0.398708,0.314284,0.112759,0,0,0,0.391046,0.336124,0.0833827,0.413977,0.46683,0.242239,0.412454,0.39056,0.353741,0.397108,0.53223,0.378333,0.403274,0.338787,0.244325,0.372588,0.578615,0.48197,0.363458,0.257031,0.218107,0.473704,0.428732,0.276175,0.463014,0.404104,0.258562,0.55794,0.390533,0.166501,0.554871,0.382381,0.390437,0.625315,0.357822,0.238438,0.626848,0.341475,0.493162,0.410912,0.412352,0.369504,0.371123,0.455977,0.222527,0.642154,0.3415,0.0946681,0.642173,0.336117,0.100891,0.634513,0.355138,0.115145,0.651354,0.325188,0.311549,0.648309,0.336097,0.337609,0.631463,0.33604,0.353126,flag1,67,fl
0,0,0,0,0,0,0,0,0,0.397127,0.466861,0.0616358,0.395604,0.338751,0.0868782,0.410996,0.461367,0.174028,0.410979,0.387859,0.284058,0.404779,0.513241,0.31321,0.400225,0.330637,0.241844,0.374151,0.573148,0.366558,0.36348,0.2516,0.228512,0.469146,0.420527,0.276431,0.459929,0.401503,0.234634,0.5656,0.390564,0.178398,0.562525,0.382432,0.276634,0.625327,0.357921,0.233061,0.625329,0.344296,0.485708,0.409408,0.393283,0.371017,0.371127,0.450497,0.230166,0.643734,0.341519,0.0895113,0.643744,0.338766,0.100082,0.636032,0.368731,0.11069,0.652885,0.325143,0.272925,0.649843,0.338782,0.302276,0.631423,0.338807,0.378024,flag1,68,fl
0,0,0,0,0,0,0,0,0,0,0,0,0.394084,0.428737,0.0958839,0.414005,0.466824,0.192357,0.412467,0.398752,0.335912,0.398678,0.524047,0.270785,0.404812,0.344241,0.274556,0.372704,0.570427,0.35327,0.397156,0.325123,0.201903,0.459952,0.431444,0.192473,0.452271,0.401374,0.237354,0.554862,0.40143,0.146189,0.539572,0.390583,0.314807,0.626842,0.37421,0.242714,0.628393,0.357841,0.548717,0.409404,0.426041,0.364445,0.365015,0.453205,0.206693,0,0,0,0,0,0,0.631483,0.37965,0.126008,0.651346,0.33611,0.27152,0.651343,0.344248,0.299509,0.634517,0.349714,0.374243,flag1,70,fl
0.389478,0.461407,0.0512617,0,0,0,0,0,0,0,0,0,0.395568,0.425956,0.146819,0.415523,0.469518,0.433736,0.409423,0.385162,0.571146,0.400202,0.515876,0.474676,0.398705,0.333263,0.471509,0.372677,0.570404,0.591507,0.384911,0.292454,0.237111,0.470627,0.426014,0.274266,0.458403,0.390561,0.309006,0.550295,0.404165,0.193939,0.548763,0.401365,0.355067,0.628413,0.379685,0.258161,0.628408,0.368724,0.447023,0.407859,0.431443,0.430666,0.363505,0.450471,0.310524,0.64218,0.374201,0.134032,0.640652,0.371487,0.12931,0,0,0,0.651349,0.35242,0.236807,0.651356,0.360626,0.268709,0.63297,0.36061,0.355863,flag1,71,fl
0,0,0,0,0,0,0,0,0,0.392534,0.461362,0.219912,0.397076,0.423289,0.128957,0.414006,0.469564,0.580721,0.407895,0.379732,0.614877,0.392534,0.534996,0.611397,0.39863,0.319788,0.676358,0.363444,0.578634,0.716567,0.363443,0.251617,0.566578,0.481385,0.436884,0.329386,0.470671,0.390528,0.342033,0.565595,0.401474,0.301833,0.564074,0.395955,0.323708,0.622295,0.382462,0.341385,0.628351,0.368727,0.463864,0.407888,0.431448,0.408357,0.366552,0.442347,0.325754,0.640653,0.379692,0.164605,0.637602,0.376951,0.160049,0.631445,0.379655,0.222503,0.652881,0.35244,0.216074,0.65137,0.363278,0.263345,0.631495,0.360668,0.381258,flag1,72,fl
0,0,0,0,0,0,0,0,0,0,0,0,0.392572,0.425915,0.146709,0.412509,0.466901,0.42321,0.409428,0.385168,0.560878,0.397198,0.518678,0.450854,0.400236,0.336029,0.554878,0.368054,0.57582,0.54054,0.389528,0.303353,0.320529,0.466051,0.425982,0.230593,0.456869,0.393277,0.268155,0.550296,0.404216,0.173644,0.544163,0.401463,0.264982,0.62228,0.382409,0.284724,0.626831,0.376896,0.411914,0.406314,0.428704,0.456708,0.365009,0.447875,0.307428,0.640655,0.366056,0.159263,0.637586,0.366018,0.157053,0.631446,0.379651,0.199038,0.646774,0.357854,0.248881,0.646771,0.363365,0.272998,0.631485,0.368774,0.345538,flag1,73,fl
